crop,state,Cost of Cultivation (Rs./Hectare) A1,Cost of Cultivation (Rs./Hectare) A2,Cost of Cultivation (Rs./Hectare) B1,Cost of Cultivation (Rs./Hectare) B2,Cost of Cultivation (Rs./Hectare) C1,Cost of Cultivation (Rs./Hectare) C2,Cost of Cultivation (Rs./Hectare) C2 Revised,Cost of Production (Rs./Qtl) A1,Cost of Production (Rs./Qtl) A2,Cost of Production (Rs./Qtl) B1,Cost of Production (Rs./Qtl) B2,Cost of Production (Rs./Qtl) C1,Cost of Production (Rs./Qtl) C2,Cost of Production (Rs./Qtl) C2 Revised,Cost of Production (Rs./Qtl) C3,Value of Main Product (Rs./Hectare),Value of By- Product (Rs./Hectare),Seed (Kg.) per Hectare,Fertilizer (Kg. Nutrients) per Hectare,Manure (Qtl.) per Hectare,Human Labour* (Man Hrs.) per Hectare,Animal Labour (Pair Hrs.) per Hectare,Seed (Kg.) Rate (Rs.) ,Fertilizer (Kg. Nutrients) Rate(Rs.) ,Manure (Qtl.) Rate (Rs.) ,Human Labour (Man Hrs.) Rate (Rs.) ,Animal Labour (Pair Hrs.) Rate (Rs.) ,Implicit (Qtl.) Rate (Rs.) ,Number of Holdings in Sample,Number of Tehsils in Sample,Derived Yield (Qtl./Hectare),Operational Cost,Human Labour,Animal Labour,Machine Labour,Seed,Fertilizer & Manure,Insecticides,Irrigation Charges,Crop Insurance,Miscellaneous,Interest on Working Capital,Fixed Costs,Rental Value of Owned Land,Rent Paid For Leased-in-Land,"Land Revenue, Taxes, Cesses",Depreciation on Implements & Farm Building,Interest on Fixed Capital,Total Cost [11+12]
Groundnut,Madhya Pradesh,39339.2,39339.2,40555.83,53118.33,49956.58,62519.08,62519.08,2505.18,2505.18,2582.66,3382.66,3181.31,3981.31,3981.31,4379.441,48000,2250,100,140,0,667.25,15,95,34.411,0,36.57,62.5,3200,1,1,15,47652.38,24400.75,937.5,4875,9500,4817.5,1362.5,0,600,0,1159.13,14866.7,12562.5,0,2.4,1085.18,1216.62,62519.08
Groundnut,Maharashtra,44887.11,44887.11,48983.34,59122.34,65370,75509,75509,3186.86,3186.86,3479.78,4216.09,4717.67,5453.99,5453.99,5999.39,58026.95,2794.78,87.41,125.1,0.75,912.25,34.87,101.86,35.3,171.22,31.67,133.91,3936.76,36,12,13.2,60638.88,28893.43,4669.83,10105.2,8903.67,4545.1,36.48,2007.56,0,136.64,1340.97,14870.12,10138.99,0,18.39,616.5,4096.24,75509
Groundnut,Odisha,23722.79,23722.79,25082.31,36029.15,47525.7,58472.54,58472.54,2397.36,2397.36,2537.98,3600,4920.73,5982.74,5982.74,6581.01,43122.42,664.93,135.3,50.37,3.26,861.47,106.83,54.23,34.76,100.08,34.79,41.18,4301.72,81,16,9.63,45723.58,29971.51,4399.19,1193.96,7337.41,2076.88,0.92,3.67,0,34.59,705.45,12748.96,10946.83,0,16.75,425.87,1359.51,58472.54
Groundnut,Rajasthan,32626.25,32626.25,36339.32,49781.85,47247.69,60690.21,60690.21,1550.18,1550.18,1717.72,2352.53,2235.75,2870.56,2870.56,3157.616,72619.02,8019.98,122.162,122.212,21.229,304.99,0.31,95.312,27.884,58.91,42.5,77.66,3663.91,87,22,19.05,43170.28,12962.89,23.95,7252.24,11643.49,4658.38,1178.63,4466.34,0,6.74,977.62,17519.93,13442.53,0,6.32,358,3713.08,60690.21
Groundnut,Tamil Nadu,46424.1,46441.26,61247.97,81127.58,71572.63,91452.23,91452.23,2543.57,2544.16,3395.76,4499.49,3949.94,5053.68,5053.68,5559.05,63770.99,5847.49,121.97,246.15,15.41,572.5,1.5,85.08,19.03,138.82,48.41,112.03,3929.16,107,19,16.47,56088.15,27716.2,167.94,6292.13,10377,6823.75,837.54,1988.69,0,165.71,1386.76,35364.08,19865.45,14.16,10.15,653.45,14820.87,91452.23
Groundnut,Uttar Pradesh,22723.96,22723.96,24448.18,33956.18,35356.06,44864.06,44864.06,2061.67,2061.67,2220.39,3086.17,3225.3,4091.09,4091.09,4500.2,33029.84,975.83,79.51,20.27,0,519.08,7.85,85.59,19.45,0,32.16,120.27,3157.26,27,4,10.65,33218.17,16693.93,944.28,5754.76,6805.28,394.07,796.4,780.1,0,373.22,676.06,11645.89,9508,0,7.51,406.15,1724.23,44864.06
Jowar,Andhra Pradesh,29920.59,31402.01,31000.23,46993.72,42069.88,58063.38,58063.38,969.2,1013.9,1007.16,1496.37,1499.19,1988.39,1988.39,2187.229,44559.16,5117.66,9.013,199.755,4.612,503.14,25.98,95.057,28.079,103.404,43.2,117.56,1077.71,17,6,25.83,40634,21736.62,3053.72,5333.31,856.78,6085.76,2338.3,269.43,0,64.2,895.88,17429.4,14512.08,1481.42,0,356.24,1079.64,58063.38
Jowar,Karnataka,17423.44,17423.44,18389.11,25897.88,23202.85,30711.6,33565.84,1225.52,1225.52,1281.45,1799.63,1656.66,2174.84,2376.52,2614.17,23470.47,7166.4,10.18,61.61,0,357.71,26.48,50.86,31.46,0,30.02,130.77,1770.6,104,30,10.84,22035.27,10738.74,3463.32,4601.53,518,1938.03,27.84,144.88,0,81.08,521.85,8676.33,7508.76,0,11.31,190.59,965.67,30711.6
Jowar,Madhya Pradesh,19570.03,19570.03,21589.66,28502.75,30617.64,37530.72,37530.72,635.06,635.06,700.6,924.93,993.56,1217.89,1217.89,1339.679,17899.24,11569.85,10.912,103.249,14.5,340.07,0,133.549,23.67,200.001,40.36,0,947.28,10,2,18.72,28266.20278,13726.61,0,6789.37,1457.29,5343.92,0,250.25,94.94278,20.85,582.97,9264.52,6913.09,0,2.76,329.03,2019.64,37530.72278
Jowar,Maharashtra,28703.82,28703.82,35756.44,42439.56,43559.36,50242.47,50242.47,1399.93,1399.93,1753.63,2074.41,2132.48,2453.26,2453.26,2698.59,22455.8,17634.87,11.94,114.09,0.3,552.46,35.93,39.9,30.34,227.99,32.08,107.24,1793.29,102,31,11.26,35761.77,17720.27,3853.39,6263.77,476.53,3528.98,11.53,2828.39,4.69,30.84,847.22,14480.7,6683.12,0,38.43,706.53,7052.62,50242.47
