crop,state,district,year,season,area,production,yield
Bajra,Gujarat,PORBANDAR, 2005-06,Summer     ,100.0,300,3.00
Bajra,Gujarat,PORBANDAR, 2004-05,Summer     ,100.0,200,2.00
Bajra,Gujarat,PATAN, 2018-19,Summer     ,4458.0,13363,3.00
Bajra,Gujarat,PORBANDAR, 2013-14,Summer     ,240.0,671,2.80
Bajra,Gujarat,PATAN, 2017-18,Summer     ,4142.0,12491,3.02
Bajra,Gujarat,PATAN, 2015-16,Summer     ,5770.0,15506,2.69
Bajra,Gujarat,PATAN, 2014-15,Summer     ,8050.0,22290,2.77
Bajra,Gujarat,PATAN, 2013-14,Summer     ,11200.0,31554,2.82
Bajra,Gujarat,PATAN, 2012-13,Summer     ,10200.0,27000,2.65
Bajra,Gujarat,PATAN, 2011-12,Summer     ,15100.0,42300,2.80
Bajra,Gujarat,PATAN, 2010-11,Summer     ,15100.0,38700,2.56
Bajra,Gujarat,PATAN, 2009-10,Summer     ,4900.0,12100,2.47
Bajra,Gujarat,PATAN, 2008-09,Summer     ,4700.0,12800,2.72
Bajra,Gujarat,PATAN, 2007-08,Summer     ,4200.0,9300,2.21
Bajra,Gujarat,PATAN, 2016-17,Summer     ,5180.0,15191,2.93
Bajra,Gujarat,PORBANDAR, 2014-15,Summer     ,20.0,52,2.60
Bajra,Gujarat,PORBANDAR, 2015-16,Summer     ,15.0,40,2.67
Bajra,Puducherry,PONDICHERRY, 2009-10,Summer     ,31.0,62,2.00
Bajra,Gujarat,RAJKOT, 2015-16,Summer     ,92.0,245,2.66
Bajra,Gujarat,RAJKOT, 2014-15,Summer     ,296.0,776,2.62
Bajra,Gujarat,RAJKOT, 2013-14,Summer     ,960.0,2682,2.79
Bajra,Gujarat,RAJKOT, 2012-13,Summer     ,100.0,200,2.00
Bajra,Gujarat,RAJKOT, 2011-12,Summer     ,1100.0,2900,2.64
Bajra,Gujarat,RAJKOT, 2010-11,Summer     ,1000.0,2600,2.60
Bajra,Gujarat,RAJKOT, 2009-10,Summer     ,400.0,800,2.00
Bajra,Gujarat,RAJKOT, 2008-09,Summer     ,400.0,900,2.25
Bajra,Gujarat,RAJKOT, 2007-08,Summer     ,400.0,800,2.00
Bajra,Gujarat,RAJKOT, 2006-07,Summer     ,600.0,1300,2.17
Bajra,Gujarat,RAJKOT, 2005-06,Summer     ,100.0,300,3.00
Bajra,Gujarat,RAJKOT, 2004-05,Summer     ,100.0,100,1.00
Bajra,Gujarat,PORBANDAR, 2018-19,Summer     ,20.0,58,2.90
Bajra,Gujarat,PORBANDAR, 2017-18,Summer     ,88.0,257,2.92
Bajra,Gujarat,PORBANDAR, 2016-17,Summer     ,45.0,112,2.49
Bajra,Puducherry,PONDICHERRY, 2017-18,Summer     ,3.0,8,2.67
Bajra,Puducherry,PONDICHERRY, 2016-17,Summer     ,4.0,5,1.25
Bajra,Puducherry,PONDICHERRY, 2015-16,Summer     ,1.0,2,2.00
Bajra,Puducherry,PONDICHERRY, 2012-13,Summer     ,12.0,36,3.00
Bajra,Puducherry,PONDICHERRY, 2011-12,Summer     ,20.0,51,2.55
Bajra,Puducherry,PONDICHERRY, 2010-11,Summer     ,5.0,11,2.20
Bajra,Gujarat,PATAN, 2006-07,Summer     ,4600.0,11000,2.39
Bajra,Gujarat,PATAN, 2005-06,Summer     ,3500.0,6700,1.91
Bajra,Gujarat,PATAN, 2004-05,Summer     ,2500.0,5200,2.08
Bajra,Gujarat,PANCH MAHALS, 2018-19,Summer     ,1531.0,3252,2.12
Bajra,Gujarat,NARMADA, 2013-14,Summer     ,1285.0,3590,2.79
Bajra,Gujarat,NARMADA, 2012-13,Summer     ,200.0,600,3.00
Bajra,Gujarat,NARMADA, 2011-12,Summer     ,1700.0,4300,2.53
Bajra,Gujarat,NARMADA, 2010-11,Summer     ,1500.0,3600,2.40
Bajra,Gujarat,NARMADA, 2009-10,Summer     ,1000.0,2400,2.40
Bajra,Gujarat,NARMADA, 2008-09,Summer     ,900.0,2300,2.56
Bajra,Gujarat,NARMADA, 2007-08,Summer     ,1100.0,2600,2.36
Bajra,Gujarat,NARMADA, 2006-07,Summer     ,1200.0,2700,2.25
Bajra,Gujarat,NARMADA, 2005-06,Summer     ,300.0,600,2.00
Bajra,Gujarat,NARMADA, 2004-05,Summer     ,200.0,300,1.50
Bajra,Gujarat,MORBI, 2018-19,Summer     ,130.0,379,2.92
Bajra,Gujarat,MORBI, 2017-18,Summer     ,135.0,394,2.92
Bajra,Gujarat,MORBI, 2016-17,Summer     ,218.0,544,2.50
Bajra,Gujarat,MORBI, 2015-16,Summer     ,255.0,678,2.66
Bajra,Gujarat,MAHISAGAR, 2018-19,Summer     ,2250.0,4613,2.05
Bajra,Gujarat,MAHISAGAR, 2017-18,Summer     ,2059.0,3679,1.79
Bajra,Gujarat,MAHISAGAR, 2016-17,Summer     ,4472.0,8029,1.80
Bajra,Gujarat,MAHISAGAR, 2015-16,Summer     ,3399.0,4998,1.47
Bajra,Gujarat,MAHESANA, 2018-19,Summer     ,9580.0,30746,3.21
Bajra,Gujarat,MAHESANA, 2017-18,Summer     ,12298.0,39661,3.22
Bajra,Gujarat,MAHESANA, 2016-17,Summer     ,9881.0,29808,3.02
Bajra,Gujarat,NARMADA, 2014-15,Summer     ,747.0,1244,1.67
Bajra,Gujarat,JAMNAGAR, 2000-01,Summer     ,100.0,200,2.00
Bajra,Gujarat,NARMADA, 2015-16,Summer     ,206.0,397,1.93
Bajra,Gujarat,NARMADA, 2017-18,Summer     ,85.0,248,2.92
Bajra,Gujarat,PANCH MAHALS, 2017-18,Summer     ,751.0,1577,2.10
Bajra,Gujarat,PANCH MAHALS, 2016-17,Summer     ,3844.0,8887,2.31
Bajra,Gujarat,PANCH MAHALS, 2015-16,Summer     ,2850.0,4813,1.69
Bajra,Gujarat,PANCH MAHALS, 2014-15,Summer     ,2625.0,4339,1.65
Bajra,Gujarat,PANCH MAHALS, 2013-14,Summer     ,11389.0,31821,2.79
Bajra,Gujarat,PANCH MAHALS, 2012-13,Summer     ,4900.0,13000,2.65
Bajra,Gujarat,PANCH MAHALS, 2011-12,Summer     ,14200.0,35800,2.52
Bajra,Gujarat,PANCH MAHALS, 2010-11,Summer     ,9200.0,22500,2.45
Bajra,Gujarat,PANCH MAHALS, 2009-10,Summer     ,2600.0,5900,2.27
Bajra,Gujarat,PANCH MAHALS, 2008-09,Summer     ,1900.0,4600,2.42
Bajra,Gujarat,PANCH MAHALS, 2007-08,Summer     ,2200.0,5100,2.32
Bajra,Gujarat,PANCH MAHALS, 2006-07,Summer     ,1800.0,4300,2.39
Bajra,Gujarat,PANCH MAHALS, 2005-06,Summer     ,1500.0,3400,2.27
Bajra,Gujarat,PANCH MAHALS, 2004-05,Summer     ,2300.0,4800,2.09
Bajra,Gujarat,PANCH MAHALS, 2003-04,Summer     ,1900.0,2400,1.26
Bajra,Gujarat,PANCH MAHALS, 2002-03,Summer     ,700.0,700,1.00
Bajra,Gujarat,PANCH MAHALS, 2001-02,Summer     ,600.0,700,1.17
Bajra,Gujarat,PANCH MAHALS, 2000-01,Summer     ,1000.0,800,0.80
Bajra,Gujarat,PANCH MAHALS, 1999-00,Summer     ,1600.0,1600,1.00
Bajra,Gujarat,PANCH MAHALS, 1998-99,Summer     ,2500.0,3000,1.20
Bajra,Gujarat,NARMADA, 2018-19,Summer     ,175.0,510,2.91
Bajra,Gujarat,NARMADA, 2016-17,Summer     ,325.0,555,1.71
Bajra,Gujarat,JAMNAGAR, 1999-00,Summer     ,100.0,100,1.00
Bajra,Gujarat,JAMNAGAR, 1998-99,Summer     ,500.0,1200,2.40
Bajra,Gujarat,GIR SOMNATH, 2018-19,Summer     ,3287.0,10507,3.20
Bajra,Gujarat,AMRELI, 2006-07,Summer     ,2000.0,4700,2.35
Bajra,Gujarat,AMRELI, 2005-06,Summer     ,600.0,1300,2.17
Bajra,Gujarat,AMRELI, 2004-05,Summer     ,200.0,500,2.50
Bajra,Gujarat,AMRELI, 2003-04,Summer     ,200.0,500,2.50
Bajra,Gujarat,AMRELI, 2002-03,Summer     ,200.0,400,2.00
Bajra,Gujarat,AMRELI, 2001-02,Summer     ,200.0,300,1.50
Bajra,Gujarat,AMRELI, 2000-01,Summer     ,100.0,300,3.00
Bajra,Gujarat,AMRELI, 1999-00,Summer     ,200.0,300,1.50
Bajra,Gujarat,AMRELI, 1998-99,Summer     ,300.0,800,2.67
Bajra,Gujarat,AMRELI, 2007-08,Summer     ,1100.0,2500,2.27
Bajra,Gujarat,AHMADABAD, 2018-19,Summer     ,1257.0,3598,2.86
Bajra,Gujarat,AHMADABAD, 2016-17,Summer     ,675.0,2455,3.64
Bajra,Gujarat,AHMADABAD, 2015-16,Summer     ,585.0,1722,2.94
Bajra,Gujarat,AHMADABAD, 2014-15,Summer     ,1073.0,2966,2.76
Bajra,Gujarat,AHMADABAD, 2013-14,Summer     ,1340.0,3262,2.43
Bajra,Gujarat,AHMADABAD, 2012-13,Summer     ,900.0,2300,2.56
Bajra,Gujarat,AHMADABAD, 2011-12,Summer     ,3500.0,9000,2.57
Bajra,Gujarat,AHMADABAD, 2010-11,Summer     ,1800.0,5000,2.78
Bajra,Gujarat,AHMADABAD, 2009-10,Summer     ,900.0,2300,2.56
Bajra,Gujarat,AHMADABAD, 2008-09,Summer     ,1400.0,3700,2.64
Bajra,Gujarat,AHMADABAD, 2017-18,Summer     ,717.0,2064,2.88
Bajra,Gujarat,AMRELI, 2008-09,Summer     ,1400.0,3400,2.43
Bajra,Gujarat,AMRELI, 2009-10,Summer     ,400.0,800,2.00
Bajra,Gujarat,AMRELI, 2010-11,Summer     ,1300.0,3100,2.38
Bajra,Gujarat,ANAND, 2016-17,Summer     ,26054.0,81098,3.11
Bajra,Gujarat,ANAND, 2015-16,Summer     ,36060.0,113026,3.13
Bajra,Gujarat,ANAND, 2014-15,Summer     ,30979.0,92175,2.98
Bajra,Gujarat,ANAND, 2013-14,Summer     ,46223.0,144359,3.12
Bajra,Gujarat,ANAND, 2012-13,Summer     ,34000.0,93700,2.76
Bajra,Gujarat,ANAND, 2011-12,Summer     ,48100.0,133200,2.77
Bajra,Gujarat,ANAND, 2010-11,Summer     ,42700.0,119300,2.79
Bajra,Gujarat,ANAND, 2009-10,Summer     ,26400.0,69200,2.62
Bajra,Gujarat,ANAND, 2008-09,Summer     ,19600.0,51300,2.62
Bajra,Gujarat,ANAND, 2007-08,Summer     ,21800.0,60000,2.75
Bajra,Gujarat,ANAND, 2006-07,Summer     ,20500.0,51000,2.49
Bajra,Gujarat,ANAND, 2005-06,Summer     ,23000.0,53000,2.30
Bajra,Gujarat,ANAND, 2004-05,Summer     ,25100.0,55600,2.22
Bajra,Gujarat,AMRELI, 2018-19,Summer     ,559.0,1628,2.91
Bajra,Gujarat,AMRELI, 2017-18,Summer     ,1070.0,3123,2.92
Bajra,Gujarat,AMRELI, 2016-17,Summer     ,672.0,1678,2.50
Bajra,Gujarat,AMRELI, 2015-16,Summer     ,350.0,931,2.66
Bajra,Gujarat,AMRELI, 2014-15,Summer     ,325.0,853,2.62
Bajra,Gujarat,AMRELI, 2013-14,Summer     ,820.0,2291,2.79
Bajra,Gujarat,AMRELI, 2012-13,Summer     ,200.0,500,2.50
Bajra,Gujarat,AMRELI, 2011-12,Summer     ,2300.0,5900,2.57
Bajra,Gujarat,AHMADABAD, 2007-08,Summer     ,1200.0,3000,2.50
Bajra,Gujarat,AHMADABAD, 2006-07,Summer     ,1100.0,2800,2.55
Bajra,Gujarat,AHMADABAD, 2005-06,Summer     ,2900.0,7700,2.66
Bajra,Gujarat,AHMADABAD, 2004-05,Summer     ,1500.0,3800,2.53
Bajra,Karnataka,CHITRADURGA, 2008-09,Summer     ,1.0,1,1.00
Bajra,Karnataka,DAVANGERE, 2016-17,Summer     ,5.0,5,1.00
Bajra,Karnataka,GULBARGA, 2009-10,Summer     ,373.0,279,0.75
Bajra,Karnataka,KOPPAL, 2003-04,Summer     ,2.0,2,1.00
Bajra,Karnataka,RAICHUR, 2004-05,Summer     ,769.0,621,0.81
Bajra,Karnataka,RAICHUR, 2005-06,Summer     ,4.0,5,1.25
Bajra,Karnataka,RAICHUR, 2006-07,Summer     ,70.0,30,0.43
Bajra,Karnataka,RAICHUR, 2007-08,Summer     ,9.0,8,0.89
Bajra,Karnataka,RAICHUR, 2008-09,Summer     ,8.0,7,0.88
Bajra,Karnataka,RAICHUR, 2010-11,Summer     ,115.0,98,0.85
Bajra,Karnataka,RAICHUR, 2011-12,Summer     ,870.0,744,0.86
Bajra,Karnataka,RAICHUR, 2015-16,Summer     ,1230.0,1332,1.08
Bajra,Karnataka,RAICHUR, 2016-17,Summer     ,559.0,584,1.04
Bajra,Karnataka,RAICHUR, 2018-19,Summer     ,144.0,153,1.06
Bajra,Karnataka,TUMKUR, 2016-17,Summer     ,1.0,1,1.00
Bajra,Karnataka,TUMKUR, 2018-19,Summer     ,14.0,16,1.14
Bajra,Karnataka,YADGIR, 2011-12,Summer     ,621.0,647,1.04
Bajra,Karnataka,YADGIR, 2015-16,Summer     ,871.0,843,0.97
Bajra,Karnataka,YADGIR, 2016-17,Summer     ,1090.0,1159,1.06
Bajra,Karnataka,YADGIR, 2017-18,Summer     ,4785.0,4859,1.02
Bajra,Karnataka,YADGIR, 2018-19,Summer     ,830.0,843,1.02
Bajra,Karnataka,CHITRADURGA, 2004-05,Summer     ,12.0,12,1.00
Bajra,Gujarat,ANAND, 2017-18,Summer     ,26351.0,82022,3.11
Bajra,Karnataka,BELLARY, 2018-19,Summer     ,395.0,493,1.25
Bajra,Karnataka,BELLARY, 2016-17,Summer     ,274.0,339,1.24
Bajra,Gujarat,AHMADABAD, 2003-04,Summer     ,2000.0,4900,2.45
Bajra,Gujarat,AHMADABAD, 2002-03,Summer     ,2700.0,4400,1.63
Bajra,Gujarat,AHMADABAD, 2001-02,Summer     ,7900.0,16600,2.10
Bajra,Gujarat,AHMADABAD, 2000-01,Summer     ,9100.0,20600,2.26
Bajra,Gujarat,AHMADABAD, 1999-00,Summer     ,11000.0,23400,2.13
Bajra,Gujarat,AHMADABAD, 1998-99,Summer     ,11100.0,22600,2.04
Bajra,Karnataka,BELGAUM, 2016-17,Summer     ,51.0,57,1.12
Bajra,Karnataka,BELLARY, 1998-99,Summer     ,846.0,498,0.59
Bajra,Karnataka,BELLARY, 2000-01,Summer     ,905.0,989,1.09
Bajra,Karnataka,BELLARY, 2001-02,Summer     ,850.0,929,1.09
Bajra,Karnataka,BELLARY, 2002-03,Summer     ,377.0,322,0.85
Bajra,Karnataka,BELLARY, 2003-04,Summer     ,277.0,250,0.90
Bajra,Karnataka,BELLARY, 2004-05,Summer     ,1327.0,1072,0.81
Bajra,Karnataka,BELLARY, 2005-06,Summer     ,913.0,1084,1.19
Bajra,Karnataka,BELLARY, 2006-07,Summer     ,1166.0,1385,1.19
Bajra,Karnataka,BELLARY, 2007-08,Summer     ,1574.0,1570,1.00
Bajra,Karnataka,BELLARY, 2008-09,Summer     ,994.0,1180,1.19
Bajra,Karnataka,BELLARY, 2009-10,Summer     ,381.0,428,1.12
Bajra,Karnataka,BELLARY, 2010-11,Summer     ,358.0,395,1.10
Bajra,Karnataka,BELLARY, 2011-12,Summer     ,1702.0,1937,1.14
Bajra,Karnataka,BELLARY, 2015-16,Summer     ,1022.0,1290,1.26
Bajra,Karnataka,BELLARY, 2017-18,Summer     ,290.0,362,1.25
Bajra,Gujarat,RAJKOT, 2016-17,Summer     ,270.0,674,2.50
Bajra,Gujarat,ANAND, 2018-19,Summer     ,25007.0,82367,3.29
Bajra,Gujarat,ARAVALLI, 2016-17,Summer     ,3035.0,7969,2.63
Bajra,Gujarat,DOHAD, 2017-18,Summer     ,5.0,15,3.00
Bajra,Gujarat,DOHAD, 2016-17,Summer     ,15.0,37,2.47
Bajra,Gujarat,DOHAD, 2015-16,Summer     ,8.0,21,2.63
Bajra,Gujarat,DOHAD, 2005-06,Summer     ,100.0,200,2.00
Bajra,Gujarat,DEVBHUMI DWARKA, 2017-18,Summer     ,15.0,44,2.93
Bajra,Gujarat,CHHOTAUDEPUR, 2017-18,Summer     ,53.0,155,2.92
Bajra,Gujarat,CHHOTAUDEPUR, 2016-17,Summer     ,12.0,30,2.50
Bajra,Gujarat,BOTAD, 2018-19,Summer     ,26.0,76,2.92
Bajra,Gujarat,BOTAD, 2017-18,Summer     ,90.0,263,2.92
Bajra,Gujarat,DOHAD, 2018-19,Summer     ,20.0,58,2.90
Bajra,Gujarat,BOTAD, 2016-17,Summer     ,87.0,217,2.49
Bajra,Gujarat,BHAVNAGAR, 2018-19,Summer     ,1542.0,4505,2.92
Bajra,Gujarat,BHAVNAGAR, 2016-17,Summer     ,2989.0,7855,2.63
Bajra,Gujarat,BHAVNAGAR, 2015-16,Summer     ,271.0,749,2.76
Bajra,Gujarat,BHAVNAGAR, 2014-15,Summer     ,234.0,707,3.02
Bajra,Gujarat,BHAVNAGAR, 2013-14,Summer     ,4905.0,13705,2.79
